"Column Name","Label"
"S2503_C01_006M","Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $24,999"
"S2503_C01_006MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $24,999"
"S2503_C01_007E","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999"
"S2503_C01_007M","Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999"
"S2503_C01_007MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999"
"S2503_C01_007EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999"
"S2503_C01_008E","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999"
"S2503_C01_008EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999"
"S2503_C01_008M","Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999"
"S2503_C01_008MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999"
"S2503_C01_009E","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999"
"S2503_C01_009EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999"
"S2503_C01_009M","Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999"
"S2503_C01_009MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999"
"S2503_C01_010E","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999"
"S2503_C01_010M","Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999"
"S2503_C01_010MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999"
"S2503_C01_010EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999"
"S2503_C01_011E","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999"
"S2503_C01_011EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999"
"S2503_C01_011M","Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999"
"S2503_C01_011MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999"
"S2503_C01_012E","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more"
"S2503_C01_012M","Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more"
"S2503_C01_012MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more"
"S2503_C01_012EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more"
"S2503_C01_013E","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)"
"S2503_C01_013EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)"
"S2503_C01_013M","Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)"
"S2503_C01_013MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)"
"S2503_C01_014E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!Less than $300"
"S2503_C01_014M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!Less than $300"
"S2503_C01_014MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!Less than $300"
"S2503_C01_014EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!Less than $300"
"S2503_C01_015E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$300 to $499"
"S2503_C01_015M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$300 to $499"
"S2503_C01_015MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$300 to $499"
"S2503_C01_015EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$300 to $499"
"S2503_C01_016E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$500 to $799"
"S2503_C01_016M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$500 to $799"
"S2503_C01_016MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$500 to $799"
"S2503_C01_016EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$500 to $799"
"S2503_C01_017E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$800 to $999"
"S2503_C01_017EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$800 to $999"
"S2503_C01_017M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$800 to $999"
"S2503_C01_017MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$800 to $999"
"S2503_C01_018E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$1,000 to $1,499"
"S2503_C01_018EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$1,000 to $1,499"
"S2503_C01_018M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$1,000 to $1,499"
"S2503_C01_018MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$1,000 to $1,499"
"S2503_C01_019E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$1,500 to $1,999"
"S2503_C01_019M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$1,500 to $1,999"
"S2503_C01_019MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$1,500 to $1,999"
"S2503_C01_019EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$1,500 to $1,999"
"S2503_C01_020E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$2,000 to $2,499"
"S2503_C01_020M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$2,000 to $2,499"
"S2503_C01_020MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$2,000 to $2,499"
"S2503_C01_020EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$2,000 to $2,499"
"S2503_C01_021E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$2,500 to $2,999"
"S2503_C01_021M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$2,500 to $2,999"
"S2503_C01_021MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$2,500 to $2,999"
"S2503_C01_021EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$2,500 to $2,999"
"S2503_C01_022E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$3,000 or more"
"S2503_C01_022EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$3,000 or more"
"S2503_C01_022M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$3,000 or more"
"S2503_C01_022MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!$3,000 or more"
"S2503_C01_023E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!No cash rent"
"S2503_C01_023M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!No cash rent"
"S2503_C01_023MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!No cash rent"
"S2503_C01_023EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!No cash rent"
"S2503_C01_024E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)"
"S2503_C01_024M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)"
"S2503_C01_024MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)"
"S2503_C01_024EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)"
"S2503_C01_025E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000"
"S2503_C01_025EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000"
"S2503_C01_025M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000"
"S2503_C01_025MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000"
"S2503_C01_026E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent"
"S2503_C01_026M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent"
"S2503_C01_026MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent"
"S2503_C01_026EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent"
"S2503_C01_027E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!20 to 29 percent"
"S2503_C01_027M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!20 to 29 percent"
"S2503_C01_027MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!20 to 29 percent"
"S2503_C01_027EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!20 to 29 percent"
"S2503_C01_028E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!30 percent or more"
"S2503_C01_028EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!30 percent or more"
"S2503_C01_028M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!30 percent or more"
"S2503_C01_028MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!30 percent or more"
"S2503_C01_029E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999"
"S2503_C01_029EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999"
"S2503_C01_029M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999"
"S2503_C01_029MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999"
"S2503_C01_030E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!Less than 20 percent"
"S2503_C01_030M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!Less than 20 percent"
"S2503_C01_030MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!Less than 20 percent"
"S2503_C01_030EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!Less than 20 percent"
"S2503_C01_031E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!20 to 29 percent"
"S2503_C01_031M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!20 to 29 percent"
"S2503_C01_031MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!20 to 29 percent"
"S2503_C01_031EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!20 to 29 percent"
"S2503_C01_032E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!30 percent or more"
"S2503_C01_032EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!30 percent or more"
"S2503_C01_032M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!30 percent or more"
"S2503_C01_032MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!30 percent or more"
"S2503_C01_033E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999"
"S2503_C01_033M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999"
"S2503_C01_033MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999"
"S2503_C01_033EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999"
"S2503_C01_034E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!Less than 20 percent"
"S2503_C01_034M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!Less than 20 percent"
"S2503_C01_034MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!Less than 20 percent"
"S2503_C01_034EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!Less than 20 percent"
"S2503_C01_035E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!20 to 29 percent"
"S2503_C01_035M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!20 to 29 percent"
"S2503_C01_035MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!20 to 29 percent"
"S2503_C01_035EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!20 to 29 percent"
"S2503_C01_036E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more"
"S2503_C01_036M","Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more"
"S2503_C01_036MA","Annotation of Margin of Error!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more"
"S2503_C01_036EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more"
"S2503_C01_037E","Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999"
"S2503_C01_037EA","Annotation of Estimate!!Occupied housing units!!Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999"
